TransactionID,UserID,Amount,TransactionDate,Category
1,84,715.2766044342641,2023-11-28 00:46:09,Electronics
2,80,912.4229716031546,2023-06-23 16:07:03,Clothing
3,59,743.3953344122909,2023-01-20 10:19:08,Electronics
4,10,178.9335356415291,2023-10-31 05:20:13,Electronics
5,61,89.34579021155913,2023-01-25 03:28:28,Electronics
6,60,226.92124422376295,2023-11-18 10:35:25,Groceries
7,3,183.3847641026671,2023-04-01 20:01:11,Utilities
8,17,547.6632723292191,2023-04-21 06:29:22,Restaurants
9,66,348.0767714479062,2023-07-09 08:33:32,Utilities
10,71,214.20580134853802,2023-07-30 12:50:22,Utilities
11,63,292.65881793661543,2023-08-20 16:28:42,Clothing
12,100,101.55381288429155,2023-10-31 13:50:05,Restaurants
13,10,42.2465625830378,2023-03-24 05:01:14,Utilities
14,86,768.090267470655,2023-10-22 22:35:24,Groceries
15,37,250.90835778206736,2023-04-26 17:14:04,Restaurants
16,35,390.1792706420835,2023-03-09 12:16:07,Clothing
17,12,781.6828451716286,2023-04-09 02:00:34,Clothing
18,52,454.75425613990177,2023-11-01 00:01:50,Utilities
19,43,889.3763356702743,2023-12-27 01:21:26,Groceries
20,39,194.07058878121498,2023-10-13 20:58:47,Groceries
21,34,784.8468276638824,2023-03-15 00:08:02,Utilities
22,3,875.9195547684712,2023-12-07 18:16:45,Restaurants
23,14,131.8872112833211,2023-07-07 23:11:10,Restaurants
24,7,683.1899956091385,2023-04-06 15:10:33,Electronics
25,29,790.9705544795695,2023-01-03 17:00:05,Utilities
26,88,474.60045228097175,2023-08-16 18:35:35,Groceries
27,65,240.86956449377632,2023-06-01 14:14:52,Utilities
28,33,389.72778897737305,2023-03-02 13:41:13,Electronics
29,22,851.1188003129187,2023-08-01 22:14:57,Electronics
30,19,700.3421742526123,2023-10-30 20:18:16,Utilities
31,70,147.08388326621775,2023-11-23 07:13:08,Utilities
32,54,296.79706928725824,2023-04-14 13:44:32,Restaurants
33,11,33.819332212197835,2023-08-13 14:54:06,Clothing
34,34,150.6904897516982,2023-05-24 14:14:50,Groceries
35,39,132.7041069751781,2023-08-16 12:36:33,Groceries
36,43,660.6688444957745,2023-10-14 02:44:15,Restaurants
